product_name,brand,ratings,num_of_reviews,old_price,product_price
DenTek Triple Clean Advanced Clean Floss Picks Mouthwash Blast (Packaging May Vary) - 90 ea,DenTek,4.5,721.0,0.0,3.99
L'Oreal Paris Elvive Total Repair Extreme Renewing Shampoo - 12.6 fl oz,L'Oreal Paris Elvive,4.5,302.0,0.0,5.49
Olay Total Effects Tone Correcting CC Cream SPF 15 Light to Medium - 1.7 OZ,Olay,4.0,413.0,0.0,27.99
Walgreens Extra Heavy Overnight Maxi Pads 5 - 20 ea,Walgreens,4.5,529.0,0.0,4.49
"Always Anti-Bunch Xtra Protection Daily Liners, Extra Long Absorbency Unscented, Extra Long Absorbency (Actual Item May Vary) - 68 ea",Always,4.5,311.0,0.0,9.99
"Listerine Antiseptic Mouthwash, Bad Breath & Plaque Mint - 33.8 fl oz",Listerine,4.5,3245.0,0.0,9.49
Advil Sinus Congestion & Pain Coated Tablets 10 - 10 ea,Advil,4.5,2398.0,0.0,8.29
"Always Feminine Pads for Women, for Nighttime, with Wings Light Clean, Size 4 - 20 ea",Always,4.5,631.0,0.0,11.99
"Depend Incontinence Shields for Men, Light Absorbency - 58 ea",Depend,4.0,568.0,0.0,18.99
Clear Eyes Redness Relief Eye Drops (Actual Item May Vary) - 0.5 fl oz,Clear Eyes,4.5,1273.0,0.0,4.99
L'Oreal Paris Elvive Color Vibrancy Protecting Shampoo - 12.6 fl oz,L'Oreal Paris Elvive,4.0,390.0,0.0,5.49
"Always Radiant Feminine Pads For Women, Heavy, With Wings Light Clean, Size 2 (26 ct) - 26 ea",Always,4.5,1835.0,0.0,11.99
Dove Restoring Body Wash Coconut and Cocoa Butter - 20 fl oz,Dove,4.5,1371.0,0.0,7.0
Garnier Fructis Pure Clean Pure Clean Hydrating Conditioner for All Hair Types - 12 fl oz,Garnier Fructis Pure Clean,4.0,1013.0,0.0,5.49
"Poise Incontinence Pads & Postpartum Incontinence Pads, 6 Drop Ultimate Absorbency 6 Ultimate Regular - 33 ea",Poise,4.0,2261.0,0.0,18.99
Garnier Whole Blends Smoothing Shampoo with Coconut Oil & Cocoa Butter Extracts - 12.5 fl oz,Garnier Whole Blends,4.5,7984.0,0.0,5.99
Dove Gentle Exfoliating Body Wash with Sea Minerals - 20 fl oz,Dove,4.5,979.0,0.0,7.0
Eucerin Original Healing Cream Fragrance Free - 16 oz,Eucerin,4.0,467.0,0.0,21.99
"Poise Postpartum Incontinence Pads, Long 4 Drop Moderate Absorbency 4 Moderate Long - 54 ea",Poise,4.0,1433.0,0.0,18.99
Sensodyne Repair & Protect Extra Fresh Toothpaste For Sensitive Teeth - 3.4 oz,Sensodyne,4.5,3009.0,0.0,7.99
Super Poligrip Denture Adhesive Cream Additive Free - 2.4 oz,Super Poligrip,4.0,117.0,0.0,5.49
Sensodyne Extra Whitening Sensitive Teeth Toothpaste - 4 oz x 2 pack,Sensodyne,4.5,2139.0,0.0,14.99
"Always Infinity Feminine Pads For Women With Wings, Heavy Unscented, Size 2 (16 ct) - 16 ea",Always,4.5,1440.0,0.0,6.99
Lubriderm Lotion Unspecified - 16 fl oz,Lubriderm,4.5,782.0,0.0,14.49
Vaseline Hand and Body Lotion Cocoa Radiant - 20.3 fl oz,Vaseline,4.0,1526.0,0.0,9.79
Aveeno Daily Moisturizing Lotion with Oat for Dry Skin Fragrance Free - 12 fl oz,Aveeno,4.5,3563.0,0.0,11.49
Arm & Hammer Peroxi-Care Fluoride Anti-Cavity Toothpaste Mint - 6 oz,Arm & Hammer,4.0,393.0,0.0,5.79
Walgreens Certainty Women's Overnight ComfortLux Underwear X-Large - 14 ea,Walgreens Certainty,4.0,301.0,0.0,12.99
